Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,0.05645454545,0.304,0.04,0.22,0.505
0.01,-0.2664952741,0.311,0.04,0.23,0.539
0.02,-0.24475,0.311,0.04,0.24,0.539
0.03,-0.24475,0.308,0.04,0.24,0.539
0.04,-0.4948416,0.318,0.05,0.25,0.573
0.05,-0.4948416,0.318,0.05,0.25,0.573
0.06,0.04042011834,0.321,0.05,0.26,0.505
0.07,0.2820621302,0.315,0.05,0.26,0.472
0.08,0.2615555556,0.311,0.06,0.27,0.472
0.09,0.4924197531,0.318,0.06,0.27,0.438
0.1,0.8808979592,0.321,0.06,0.28,0.371
0.11,0.8808979592,0.318,0.07,0.28,0.371
0.12,0.03485204082,0.318,0.07,0.28,0.505
0.13,-0.7620998811,0.318,0.07,0.29,0.64
0.14,-0.71214,0.315,0.07,0.3,0.64
0.15,-0.15664,0.315,0.08,0.3,0.539
0.16,0.3735421436,0.315,0.08,0.31,0.438
0.17,0.5486722164,0.318,0.08,0.31,0.404
0.18,0.5149160156,0.315,0.09,0.32,0.404
0.19,0.5149160156,0.321,0.09,0.32,0.404
0.2,0.5149160156,0.321,0.09,0.32,0.404
0.21,0.3296363636,0.315,0.1,0.33,0.438
0.22,-0.1294545455,0.318,0.1,0.33,0.539
0.23,-0.7000224913,0.311,0.1,0.34,0.674
0.24,-0.6605926531,0.311,0.11,0.35,0.674
0.25,0.02230530612,0.315,0.11,0.35,0.505
0.26,0.66275,0.318,0.11,0.36,0.337
0.27,0.66275,0.318,0.12,0.36,0.337
0.28,0.2769861111,0.311,0.12,0.36,0.438
0.29,0.1392797663,0.321,0.12,0.37,0.472
0.3,0.1392797663,0.315,0.13,0.37,0.472
0.31,0.01892243767,0.311,0.13,0.38,0.505
0.32,-0.3273033241,0.321,0.13,0.38,0.606
0.33,-0.532035503,0.315,0.14,0.39,0.674
0.34,-0.40057875,0.315,0.14,0.4,0.64
0.35,0.0170775,0.315,0.15,0.4,0.505
