Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,-2.217737024,0.328,0.03,0.17,0.64
0.01,-0.4351111111,0.325,0.03,0.18,0.539
0.02,1.627388889,0.325,0.03,0.18,0.404
0.03,1.913085873,0.328,0.03,0.19,0.371
0.04,0.9943878116,0.335,0.04,0.19,0.438
0.05,0.07568975069,0.332,0.04,0.19,0.505
0.06,0.06831,0.332,0.04,0.2,0.505
0.07,0.897435,0.328,0.04,0.2,0.438
0.08,0.814,0.335,0.04,0.21,0.438
0.09,0.06195918367,0.325,0.05,0.21,0.505
0.1,-0.639,0.328,0.05,0.22,0.573
0.11,-0.639,0.332,0.05,0.22,0.573
0.12,0.05165217391,0.325,0.05,0.23,0.505
0.13,0.6785897921,0.328,0.06,0.23,0.438
0.14,0.91540625,0.328,0.06,0.24,0.404
0.15,1.199,0.328,0.06,0.24,0.371
0.16,1.3742784,0.328,0.06,0.25,0.337
0.17,1.1049984,0.328,0.06,0.25,0.371
0.18,0.3050784,0.328,0.07,0.25,0.472
0.19,-0.4575088757,0.328,0.07,0.26,0.573
0.2,-0.4575088757,0.328,0.07,0.26,0.573
0.21,0.03748148148,0.325,0.08,0.27,0.505
0.22,0.7232839506,0.325,0.08,0.27,0.404
0.23,0.8808979592,0.328,0.08,0.28,0.371
0.24,0.03485204082,0.321,0.08,0.28,0.505
0.25,-0.9622187872,0.328,0.09,0.29,0.674
0.26,-0.89914,0.335,0.09,0.3,0.674
0.27,0.21186,0.328,0.09,0.3,0.472
0.28,1.06891155,0.325,0.1,0.31,0.303
0.29,0.8937814776,0.328,0.1,0.31,0.337
0.3,0.1984120708,0.321,0.1,0.31,0.472
0.31,-0.3020273437,0.321,0.1,0.32,0.573
0.32,-0.3020273437,0.321,0.11,0.32,0.573
0.33,0.02509090909,0.332,0.11,0.33,0.505
0.34,0.3296363636,0.332,0.11,0.33,0.438
0.35,0.3105311419,0.332,0.12,0.34,0.438
0.36,0.0236366782,0.335,0.12,0.34,0.505
0.37,-0.115082449,0.328,0.12,0.35,0.539
0.38,0.02230530612,0.328,0.13,0.35,0.505
0.39,0.2769861111,0.332,0.13,0.36,0.438
0.4,0.4068472222,0.328,0.14,0.36,0.404
0.41,0.3851526662,0.328,0.14,0.37,0.404
0.42,0.5044733382,0.325,0.14,0.37,0.371
0.43,0.6274097882,0.328,0.15,0.37,0.337
0.44,0.4782714681,0.328,0.15,0.38,0.371
0.45,0.01892243767,0.325,0.15,0.38,0.505
0.46,-0.4213846154,0.325,0.16,0.39,0.64
0.47,-0.2033372781,0.328,0.16,0.39,0.573
0.48,0.43164,0.325,0.17,0.4,0.371
0.49,0.7472025,0.321,0.17,0.4,0.269
0.5,0.32954625,0.325,0.17,0.4,0.404
0.51,-0.1839833432,0.321,0.18,0.41,0.573
0.52,-0.1753265306,0.325,0.18,0.42,0.573
0.53,0.01548979592,0.325,0.19,0.42,0.505
0.54,0.1080918367,0.325,0.19,0.42,0.472
0.55,0.1031227691,0.321,0.19,0.43,0.472
0.56,0.2851671174,0.321,0.2,0.43,0.404
0.57,0.3567272727,0.321,0.2,0.44,0.371
0.58,0.1854204545,0.328,0.21,0.44,0.438
0.59,-0.06961777778,0.325,0.21,0.45,0.539
0.6,-0.1527288889,0.328,0.22,0.45,0.573
0.61,0.09011058601,0.325,0.22,0.46,0.472
0.62,0.24918431,0.328,0.23,0.46,0.404
0.63,0.169647448,0.321,0.23,0.46,0.438
0.64,-0.06381892259,0.335,0.23,0.47,0.539
0.65,-0.0611875,0.328,0.24,0.48,0.539
0.66,0.1558046875,0.321,0.24,0.48,0.438
0.67,0.2196059975,0.325,0.25,0.49,0.404
0.68,0.1495102041,0.328,0.25,0.49,0.438
0.69,0.0762696,0.328,0.26,0.5,0.472
0.7,0.1435896,0.328,0.26,0.5,0.438
0.71,0.1435896,0.328,0.27,0.5,0.438
0.72,0.07330795848,0.325,0.27,0.51,0.472
0.73,0.07330795848,0.325,0.28,0.51,0.472
0.74,0.07051553254,0.325,0.28,0.52,0.472
0.75,0.07051553254,0.325,0.29,0.52,0.472
0.76,0.06787967248,0.332,0.29,0.53,0.472
0.77,0.1277942328,0.328,0.3,0.53,0.438
0.78,0.1231049383,0.332,0.31,0.54,0.438
0.79,0.00937037037,0.325,0.31,0.54,0.505
0.8,-0.10224,0.328,0.32,0.55,0.573
0.81,-0.15624,0.325,0.32,0.55,0.606
0.82,-0.04495408163,0.325,0.33,0.56,0.539
0.83,0.2202244898,0.325,0.33,0.56,0.371
0.84,0.4700443213,0.321,0.34,0.57,0.202
0.85,0.4700443213,0.325,0.34,0.57,0.202
0.86,0.212565097,0.328,0.35,0.57,0.371
0.87,0.008409972299,0.321,0.36,0.57,0.505
0.88,-0.04190725327,0.325,0.36,0.58,0.539
0.89,-0.04190725327,0.321,0.37,0.58,0.539
0.9,-0.04049870727,0.321,0.37,0.59,0.539
0.91,0.052965,0.328,0.38,0.6,0.472
0.92,0.19184,0.328,0.39,0.6,0.371
0.93,0.19184,0.318,0.39,0.6,0.371
0.94,0.0512426767,0.328,0.4,0.61,0.472
0.95,-0.08311636657,0.325,0.4,0.61,0.573
0.96,-0.1229516129,0.328,0.41,0.62,0.606
0.97,-0.08045681582,0.325,0.42,0.62,0.573
0.98,0.04804081633,0.332,0.42,0.63,0.472
0.99,0.2164081633,0.332,0.43,0.63,0.337
1,0.2918759766,0.321,0.43,0.64,0.269
1.01,0.2096982422,0.328,0.44,0.64,0.337
1.02,0.08764013672,0.328,0.45,0.64,0.438
1.03,0.04512994083,0.328,0.45,0.65,0.472
1.04,0.08496426036,0.325,0.46,0.65,0.438
1.05,0.1210454545,0.325,0.47,0.66,0.404
1.06,0.1210454545,0.325,0.47,0.66,0.404
1.07,0.08240909091,0.321,0.48,0.66,0.438
1.08,0.006086879038,0.318,0.49,0.67,0.505
