Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,0.02108333333,0.325,0.14,0.36,0.505
0.01,-0.1087777778,0.325,0.15,0.36,0.539
0.02,0.01995909423,0.325,0.15,0.37,0.505
0.03,0.5044733382,0.328,0.16,0.37,0.371
0.04,0.7503462381,0.328,0.16,0.37,0.303
0.05,0.3651481994,0.335,0.16,0.38,0.404
0.06,0.01892243767,0.325,0.17,0.38,0.505
0.07,-0.09268639053,0.332,0.17,0.39,0.539
0.08,0.01796449704,0.328,0.17,0.39,0.505
0.09,0.11917125,0.325,0.18,0.4,0.472
0.1,0.32954625,0.328,0.18,0.4,0.404
0.11,0.410841166,0.332,0.19,0.41,0.371
0.12,0.2135478882,0.328,0.19,0.41,0.438
0.13,-0.08386436645,0.328,0.19,0.41,0.539
0.14,-0.2679285714,0.328,0.2,0.42,0.606
0.15,-0.1672666306,0.332,0.2,0.43,0.573
0.16,0.01477771769,0.332,0.21,0.43,0.505
0.17,0.2723522727,0.325,0.21,0.44,0.404
0.18,0.4436590909,0.335,0.22,0.44,0.337
0.19,0.4436590909,0.335,0.22,0.44,0.337
0.2,0.2603822222,0.328,0.23,0.45,0.404
0.21,0.01349333333,0.338,0.23,0.45,0.505
0.22,-0.06662381853,0.332,0.23,0.46,0.539
0.23,0.01291304348,0.321,0.24,0.46,0.505
0.24,0.162505206,0.332,0.24,0.47,0.438
0.25,0.162505206,0.325,0.25,0.47,0.438
0.26,0.08631688547,0.328,0.25,0.47,0.472
0.27,0.2288515625,0.328,0.26,0.48,0.404
0.28,0.4278317368,0.325,0.26,0.49,0.303
0.29,0.4278317368,0.328,0.27,0.49,0.303
0.3,0.1495102041,0.328,0.27,0.49,0.438
0.31,-0.0563904,0.328,0.28,0.5,0.539
0.32,0.0109296,0.328,0.28,0.5,0.505
0.33,0.07330795848,0.328,0.29,0.51,0.472
0.34,0.07330795848,0.332,0.29,0.51,0.472
0.35,0.07051553254,0.321,0.3,0.52,0.472
0.36,0.1327566568,0.328,0.3,0.52,0.438
0.37,0.1327566568,0.332,0.31,0.52,0.438
0.38,-0.05018725525,0.328,0.31,0.53,0.539
0.39,-0.2281687433,0.325,0.32,0.53,0.64
0.4,-0.1620802469,0.328,0.32,0.54,0.606
0.41,0.1743054545,0.325,0.33,0.55,0.404
0.42,0.3952145455,0.335,0.33,0.55,0.269
0.43,0.2839418182,0.328,0.34,0.55,0.337
0.44,0.06080165816,0.325,0.35,0.56,0.472
0.45,0.06080165816,0.321,0.35,0.56,0.472
0.46,0.212565097,0.321,0.36,0.57,0.371
0.47,0.212565097,0.318,0.36,0.57,0.371
0.48,0.1104875346,0.328,0.37,0.57,0.438
0.49,0.05668073722,0.325,0.37,0.58,0.472
0.5,0.1567401902,0.325,0.38,0.58,0.404
0.51,0.1983981614,0.325,0.39,0.59,0.371
0.52,0.05477563918,0.328,0.39,0.59,0.472
0.53,-0.1357730537,0.325,0.4,0.59,0.606
0.54,-0.178035,0.318,0.4,0.6,0.64
0.55,-0.03788658963,0.321,0.41,0.61,0.539
0.56,0.0512426767,0.325,0.42,0.61,0.472
0.57,0.007108220604,0.332,0.42,0.62,0.505
0.58,0.007108220604,0.328,0.43,0.62,0.505
0.59,0.1328480726,0.325,0.43,0.63,0.404
0.6,0.2588117914,0.328,0.44,0.63,0.303
0.61,0.2164081633,0.328,0.45,0.63,0.337
0.62,0.08764013672,0.328,0.45,0.64,0.438
0.63,0.08764013672,0.328,0.46,0.64,0.438
0.64,0.1634613018,0.335,0.47,0.65,0.371
0.65,0.1634613018,0.332,0.47,0.65,0.371
0.66,0.04512994083,0.328,0.48,0.65,0.472
0.67,-0.071,0.325,0.49,0.66,0.573
0.68,-0.1085,0.321,0.49,0.66,0.606
0.69,-0.06889641346,0.325,0.5,0.67,0.573
0.7,0.00590916955,0.325,0.51,0.68,0.505
0.71,0.07763278547,0.315,0.51,0.68,0.438
0.72,0.1107485822,0.318,0.52,0.69,0.404
0.73,0.1107485822,0.328,0.53,0.69,0.404
0.74,0.1107485822,0.321,0.53,0.69,0.404
0.75,0.1076069388,0.315,0.54,0.7,0.404
0.76,0.1076069388,0.318,0.55,0.7,0.404
0.77,0.07121087086,0.321,0.55,0.71,0.438
0.78,0.005420353105,0.321,0.56,0.71,0.505
0.79,-0.02719444444,0.321,0.57,0.72,0.539
0.8,0.005270833333,0.318,0.58,0.72,0.505
0.81,0.09894426722,0.325,0.58,0.73,0.404
0.82,0.1295972978,0.321,0.59,0.73,0.371
0.83,0.06736235691,0.325,0.6,0.73,0.438
0.84,-0.02574433893,0.321,0.6,0.74,0.539
0.85,-0.05647845142,0.321,0.61,0.74,0.573
0.86,0.0338976,0.325,0.62,0.75,0.472
0.87,0.0937376,0.321,0.63,0.75,0.404
0.88,0.09128704986,0.325,0.63,0.76,0.404
