Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,1.142123503,0.304,0.05,0.23,0.505
0.01,0.4645543981,0.311,0.06,0.24,0.573
0.02,0.1809606481,0.311,0.06,0.24,0.606
0.03,0.4281333333,0.311,0.06,0.25,0.573
0.04,0.8937623274,0.308,0.06,0.26,0.505
0.05,1.135404339,0.315,0.07,0.26,0.472
0.06,0.8937623274,0.311,0.07,0.26,0.505
0.07,0.5979195245,0.308,0.07,0.27,0.539
0.08,0.7706420068,0.304,0.07,0.28,0.505
0.09,0.9789965986,0.311,0.08,0.28,0.472
0.1,0.5559736395,0.308,0.08,0.28,0.539
0.11,-0.0761791518,0.311,0.08,0.29,0.64
0.12,-0.07118518519,0.308,0.09,0.3,0.64
0.13,0.6287027402,0.301,0.09,0.31,0.505
0.14,1.318921263,0.308,0.09,0.31,0.371
0.15,1.318921263,0.315,0.09,0.31,0.371
0.16,0.9138997396,0.321,0.1,0.32,0.438
0.17,0.7495442708,0.318,0.1,0.32,0.472
0.18,0.7048056321,0.315,0.1,0.33,0.472
0.19,0.4002601775,0.311,0.11,0.33,0.539
0.2,-0.05542099193,0.315,0.11,0.34,0.64
0.21,0.09016724337,0.308,0.11,0.34,0.606
0.22,0.6265578231,0.315,0.12,0.35,0.472
0.23,0.9013333333,0.311,0.12,0.35,0.404
0.24,0.7220936214,0.311,0.12,0.36,0.438
0.25,0.5922325103,0.315,0.13,0.36,0.472
0.26,0.5606525444,0.308,0.13,0.37,0.472
0.27,0.3183954224,0.308,0.14,0.37,0.539
0.28,0.07218374885,0.311,0.14,0.38,0.606
0.29,0.3018582641,0.315,0.14,0.38,0.539
0.3,0.6152750384,0.308,0.15,0.39,0.438
0.31,0.6152750384,0.308,0.15,0.39,0.438
0.32,0.2724270833,0.311,0.15,0.4,0.539
0.33,0.1672395833,0.315,0.16,0.4,0.573
0.34,0.3594189966,0.318,0.16,0.41,0.505
0.35,0.4565932976,0.311,0.17,0.41,0.472
0.36,0.3425075586,0.318,0.17,0.42,0.505
0.37,0.151691232,0.311,0.18,0.42,0.573
0.38,0.1447178655,0.311,0.18,0.43,0.573
0.39,0.3267622138,0.315,0.18,0.43,0.505
0.4,0.396453168,0.315,0.19,0.44,0.472
0.41,0.312078168,0.318,0.19,0.44,0.505
0.42,0.2152510288,0.311,0.2,0.45,0.539
0.43,0.2983621399,0.315,0.2,0.45,0.505
0.44,0.3627284184,0.304,0.21,0.46,0.472
0.45,0.2059940139,0.304,0.21,0.46,0.539
0.46,-0.02900256526,0.308,0.22,0.47,0.64
0.47,0.04524016204,0.311,0.22,0.48,0.606
0.48,0.406177662,0.318,0.23,0.48,0.438
0.49,0.6680896849,0.311,0.23,0.49,0.303
