Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,2.090599769,0.318,0.03,0.17,0.505
0.01,-0.1977366255,0.315,0.03,0.18,0.64
0.02,0.2887349954,0.318,0.04,0.19,0.606
0.03,2.592336103,0.311,0.04,0.19,0.438
0.04,4.443444137,0.315,0.04,0.19,0.303
0.05,3.589458333,0.321,0.04,0.2,0.337
0.06,1.918833333,0.328,0.04,0.2,0.472
0.07,0.9883975813,0.315,0.04,0.21,0.539
0.08,1.370030234,0.308,0.05,0.21,0.505
0.09,1.585812672,0.315,0.05,0.22,0.472
0.1,1.248312672,0.311,0.05,0.22,0.505
0.11,0.8239760555,0.315,0.05,0.23,0.539
0.12,1.450913674,0.315,0.06,0.23,0.472
0.13,2.200491898,0.311,0.06,0.24,0.371
0.14,2.200491898,0.304,0.06,0.24,0.371
0.15,1.624710648,0.318,0.06,0.24,0.438
0.16,1.228053333,0.318,0.07,0.25,0.472
0.17,1.497333333,0.308,0.07,0.25,0.438
0.18,1.384368836,0.311,0.07,0.26,0.438
0.19,0.8937623274,0.311,0.07,0.26,0.505
0.2,0.828783722,0.311,0.08,0.27,0.505
0.21,1.514586191,0.311,0.08,0.27,0.404
0.22,2.20038866,0.315,0.08,0.27,0.303
0.23,1.831356293,0.311,0.08,0.28,0.337
0.24,0.9789965986,0.311,0.09,0.28,0.472
0.25,0.5182917162,0.318,0.09,0.29,0.539
0.26,0.7184106223,0.311,0.09,0.29,0.505
0.27,0.8528148148,0.311,0.1,0.3,0.472
0.28,0.8528148148,0.321,0.1,0.3,0.472
0.29,0.7986819285,0.315,0.1,0.31,0.472
0.3,0.9738120014,0.315,0.1,0.31,0.438
0.31,1.078255208,0.311,0.11,0.32,0.404
0.32,1.078255208,0.321,0.11,0.32,0.404
0.33,1.078255208,0.318,0.11,0.32,0.404
0.34,0.8593510866,0.321,0.12,0.33,0.438
0.35,0.4002601775,0.315,0.12,0.33,0.539
0.36,-0.05542099193,0.311,0.12,0.34,0.64
0.37,0.08508843537,0.318,0.13,0.35,0.606
0.38,0.7639455782,0.311,0.13,0.35,0.438
0.39,1.446843537,0.315,0.13,0.35,0.269
0.4,1.367579733,0.315,0.14,0.36,0.269
