Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,0.9728265306,0.325,0.02,0.14,0.472
0.01,2.690173469,0.328,0.02,0.14,0.404
0.02,3.06944,0.335,0.02,0.15,0.371
0.03,1.59544,0.325,0.02,0.15,0.438
0.04,-0.5506875,0.325,0.02,0.16,0.539
0.05,-1.846195312,0.325,0.03,0.16,0.606
0.06,-1.07015917,0.321,0.03,0.17,0.573
0.07,0.0945467128,0.325,0.03,0.17,0.505
0.08,1.627388889,0.325,0.03,0.18,0.404
0.09,2.131555556,0.321,0.03,0.18,0.371
0.1,0.5885,0.332,0.04,0.18,0.472
0.11,-1.309213296,0.332,0.04,0.19,0.606
0.12,-1.181565,0.332,0.04,0.2,0.606
0.13,0.476685,0.328,0.04,0.2,0.472
0.14,0.814,0.325,0.04,0.21,0.438
0.15,-0.3196734694,0.325,0.05,0.21,0.539
0.16,-0.9765,0.321,0.05,0.22,0.606
0.17,-0.2912727273,0.328,0.05,0.22,0.539
0.18,0.360442344,0.325,0.05,0.23,0.472
0.19,0.360442344,0.321,0.05,0.23,0.472
0.2,0.91540625,0.325,0.06,0.24,0.404
0.21,1.783375,0.332,0.06,0.24,0.303
0.22,1.4911875,0.325,0.06,0.24,0.337
0.23,0.0437184,0.328,0.06,0.25,0.505
0.24,-0.7562016,0.325,0.07,0.25,0.606
0.25,-0.2085443787,0.325,0.07,0.26,0.539
0.26,0.5310266272,0.318,0.07,0.26,0.438
0.27,0.7232839506,0.325,0.07,0.27,0.404
0.28,0.9473580247,0.328,0.08,0.27,0.371
0.29,0.8808979592,0.332,0.08,0.28,0.371
0.3,0.2432066327,0.328,0.08,0.28,0.472
0.31,-0.6028392857,0.321,0.09,0.28,0.606
0.32,-0.7620998811,0.321,0.09,0.29,0.64
0.33,0.03036,0.321,0.09,0.3,0.505
0.34,0.76736,0.321,0.09,0.3,0.371
0.35,0.7186514048,0.325,0.1,0.31,0.371
0.36,0.3735421436,0.315,0.1,0.31,0.438
0.37,0.3505605469,0.325,0.1,0.32,0.438
0.38,0.6744375,0.325,0.11,0.32,0.371
0.39,0.6744375,0.328,0.11,0.32,0.371
0.4,0.02509090909,0.328,0.11,0.33,0.505
0.41,-0.5885454545,0.321,0.12,0.33,0.64
0.42,-0.5544342561,0.321,0.12,0.34,0.64
0.43,0.02230530612,0.332,0.12,0.35,0.505
0.44,0.5637746939,0.325,0.13,0.35,0.371
0.45,0.5637746939,0.325,0.13,0.35,0.371
0.46,0.147125,0.321,0.13,0.36,0.472
0.47,-0.1087777778,0.328,0.14,0.36,0.539
