Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,0.4661908436,0.325,0.14,0.36,0.505
0.01,0.3363297325,0.325,0.15,0.36,0.539
0.02,0.4413318724,0.325,0.15,0.37,0.505
0.03,0.9258461164,0.328,0.16,0.37,0.371
0.04,1.171719016,0.328,0.16,0.37,0.303
0.05,0.7646352724,0.335,0.16,0.38,0.404
0.06,0.4184095106,0.325,0.17,0.38,0.505
0.07,0.2865768135,0.332,0.17,0.39,0.539
0.08,0.3972277011,0.328,0.17,0.39,0.505
0.09,0.4797083333,0.325,0.18,0.4,0.472
0.1,0.6900833333,0.328,0.18,0.4,0.404
0.11,0.7540055523,0.332,0.19,0.41,0.371
0.12,0.5567122744,0.328,0.19,0.41,0.438
0.13,0.2593000198,0.328,0.19,0.41,0.539
0.14,0.05908919123,0.328,0.2,0.42,0.606
0.15,0.1447178655,0.332,0.2,0.43,0.573
0.16,0.3267622138,0.332,0.21,0.43,0.505
0.17,0.5703168044,0.325,0.21,0.44,0.404
0.18,0.7416236226,0.335,0.22,0.44,0.337
0.19,0.7416236226,0.335,0.22,0.44,0.337
0.2,0.5452510288,0.328,0.23,0.45,0.404
0.21,0.2983621399,0.338,0.23,0.45,0.505
0.22,0.2059940139,0.332,0.23,0.46,0.539
0.23,0.2855308759,0.321,0.24,0.46,0.505
0.24,0.4236456919,0.332,0.24,0.47,0.438
0.25,0.4236456919,0.325,0.25,0.47,0.438
0.26,0.3474573714,0.328,0.25,0.47,0.472
0.27,0.479224537,0.328,0.26,0.48,0.404
0.28,0.6680896849,0.325,0.26,0.49,0.303
0.29,0.6680896849,0.328,0.27,0.49,0.303
0.3,0.3897681522,0.328,0.27,0.49,0.438
0.31,0.1743533333,0.328,0.28,0.5,0.539
0.32,0.2416733333,0.328,0.28,0.5,0.505
0.33,0.2950916314,0.328,0.29,0.51,0.472
0.34,0.2950916314,0.332,0.29,0.51,0.472
0.35,0.2838510848,0.321,0.3,0.52,0.472
0.36,0.3460922091,0.328,0.3,0.52,0.438
0.37,0.3460922091,0.332,0.31,0.52,0.438
0.38,0.155173846,0.328,0.31,0.53,0.539
0.39,-0.0228076421,0.325,0.32,0.53,0.64
0.4,0.03574531321,0.328,0.32,0.54,0.606
0.41,0.3650027548,0.325,0.33,0.55,0.404
0.42,0.5859118457,0.335,0.33,0.55,0.269
0.43,0.4746391185,0.328,0.34,0.55,0.337
0.44,0.2447491497,0.325,0.35,0.56,0.472
0.45,0.2447491497,0.321,0.35,0.56,0.472
0.46,0.3901149072,0.321,0.36,0.57,0.371
0.47,0.3901149072,0.318,0.36,0.57,0.371
0.48,0.2880373448,0.328,0.37,0.57,0.438
0.49,0.2281609195,0.325,0.37,0.58,0.472
0.5,0.3282203726,0.325,0.38,0.58,0.404
0.51,0.364114718,0.325,0.39,0.59,0.371
0.52,0.2204921957,0.328,0.39,0.59,0.472
0.53,0.02994350282,0.325,0.4,0.59,0.606
0.54,-0.0177962963,0.318,0.4,0.6,0.64
0.55,0.1171414494,0.321,0.41,0.61,0.539
0.56,0.2062707158,0.325,0.42,0.61,0.472
0.57,0.1571756851,0.332,0.42,0.62,0.505
0.58,0.1571756851,0.328,0.43,0.62,0.505
0.59,0.2781893004,0.325,0.43,0.63,0.404
0.6,0.4041530192,0.328,0.44,0.63,0.303
0.61,0.3617493911,0.328,0.45,0.63,0.337
0.62,0.2284749349,0.328,0.45,0.64,0.438
0.63,0.2284749349,0.328,0.46,0.64,0.438
0.64,0.2999960552,0.335,0.47,0.65,0.371
0.65,0.2999960552,0.332,0.47,0.65,0.371
0.66,0.1816646943,0.328,0.48,0.65,0.472
0.67,0.06142868075,0.325,0.49,0.66,0.573
0.68,0.02392868075,0.321,0.49,0.66,0.606
0.69,0.05960867305,0.325,0.5,0.67,0.573
0.7,0.1306624856,0.325,0.51,0.68,0.505
0.71,0.2023861015,0.315,0.51,0.68,0.438
0.72,0.2319120633,0.318,0.52,0.69,0.404
0.73,0.2319120633,0.328,0.53,0.69,0.404
0.74,0.2319120633,0.321,0.53,0.69,0.404
0.75,0.2253333333,0.315,0.54,0.7,0.404
0.76,0.2253333333,0.318,0.55,0.7,0.404
0.77,0.1856443827,0.321,0.55,0.71,0.438
0.78,0.119853865,0.321,0.56,0.71,0.505
0.79,0.08408243313,0.321,0.57,0.72,0.539
0.8,0.1165477109,0.318,0.58,0.72,0.505
0.81,0.2071933446,0.325,0.58,0.73,0.404
0.82,0.2378463752,0.321,0.59,0.73,0.371
0.83,0.1756114343,0.325,0.6,0.73,0.438
0.84,0.07959885561,0.321,0.6,0.74,0.539
0.85,0.04886474312,0.321,0.61,0.74,0.573
0.86,0.1364503704,0.325,0.62,0.75,0.472
0.87,0.1962903704,0.321,0.63,0.75,0.404
0.88,0.1911588181,0.325,0.63,0.76,0.404
