Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,1.864763374,0.332,0.04,0.18,0.505
0.01,-1.562373038,0.328,0.04,0.19,0.741
0.02,-0.9892916667,0.335,0.04,0.2,0.707
0.03,1.510458333,0.332,0.04,0.2,0.505
0.04,2.503703704,0.328,0.04,0.21,0.404
0.05,1.740438398,0.332,0.05,0.21,0.472
0.06,0.9005853994,0.328,0.05,0.22,0.539
0.07,1.585812672,0.328,0.05,0.22,0.472
0.08,2.714146188,0.335,0.05,0.23,0.337
0.09,3.659231254,0.332,0.06,0.23,0.236
0.1,3.350441084,0.328,0.06,0.23,0.269
0.11,1.769061122,0.332,0.06,0.23,0.438
0.12,0.4645543981,0.332,0.06,0.24,0.573
0.13,0.9666933333,0.328,0.06,0.25,0.505
0.14,2.297253333,0.335,0.07,0.25,0.337
0.15,2.566533333,0.338,0.07,0.25,0.303
0.16,1.228053333,0.328,0.07,0.25,0.472
0.17,-0.09477317554,0.335,0.07,0.26,0.64
0.18,-0.08788294467,0.332,0.08,0.27,0.64
0.19,0.5979195245,0.328,0.08,0.27,0.539
0.2,1.193664966,0.332,0.08,0.28,0.438
0.21,1.193664966,0.332,0.09,0.28,0.438
0.22,0.9126436782,0.328,0.09,0.29,0.472
0.23,0.9126436782,0.328,0.09,0.29,0.472
0.24,0.8528148148,0.335,0.09,0.3,0.472
0.25,0.8528148148,0.335,0.1,0.3,0.472
0.26,0.9738120014,0.332,0.1,0.31,0.438
0.27,1.318921263,0.335,0.1,0.31,0.371
0.28,1.318921263,0.328,0.11,0.31,0.371
0.29,0.9138997396,0.342,0.11,0.32,0.438
0.3,0.9138997396,0.338,0.11,0.32,0.438
0.31,1.163896541,0.335,0.12,0.33,0.371
0.32,1.013896541,0.335,0.12,0.33,0.404
0.33,0.4002601775,0.335,0.12,0.33,0.539
0.34,0.2314734717,0.328,0.13,0.34,0.573
0.35,0.6265578231,0.328,0.13,0.35,0.472
0.36,1.034680272,0.338,0.13,0.35,0.371
0.37,0.7639455782,0.328,0.14,0.35,0.438
0.38,0.2064686214,0.332,0.14,0.36,0.573
0.39,-0.0467981495,0.332,0.14,0.37,0.64
0.4,0.07613830046,0.328,0.15,0.37,0.606
0.41,0.5315327793,0.328,0.15,0.38,0.472
0.42,0.8777585411,0.332,0.16,0.38,0.371
0.43,0.9943097876,0.335,0.16,0.38,0.337
0.44,0.9439732632,0.332,0.16,0.39,0.337
0.45,0.9439732632,0.342,0.17,0.39,0.337
0.46,0.8333223756,0.332,0.17,0.39,0.371
0.47,0.4797083333,0.332,0.17,0.4,0.472
0.48,0.2724270833,0.328,0.18,0.4,0.539
0.49,0.4565932976,0.332,0.18,0.41,0.472
0.5,0.6568312512,0.325,0.19,0.41,0.404
0.51,0.6259259259,0.328,0.19,0.42,0.404
0.52,0.4351095994,0.335,0.2,0.42,0.472
0.53,0.3267622138,0.332,0.2,0.43,0.505
0.54,0.4151072652,0.335,0.2,0.43,0.472
0.55,0.396453168,0.328,0.21,0.44,0.472
0.56,0.396453168,0.328,0.21,0.44,0.472
0.57,0.2983621399,0.332,0.22,0.45,0.505
0.58,0.3790288066,0.335,0.22,0.45,0.472
0.59,0.5218021424,0.335,0.23,0.46,0.404
0.6,0.5218021424,0.338,0.23,0.46,0.404
0.61,0.3627284184,0.332,0.24,0.46,0.472
0.62,0.1211332428,0.335,0.24,0.47,0.573
0.63,0.1973215633,0.338,0.24,0.47,0.539
0.64,0.406177662,0.328,0.25,0.48,0.438
0.65,0.6231698495,0.332,0.25,0.48,0.337
0.66,0.5979938914,0.335,0.26,0.49,0.337
0.67,0.3897681522,0.332,0.26,0.49,0.438
0.68,0.1743533333,0.342,0.27,0.5,0.539
0.69,0.1743533333,0.338,0.27,0.5,0.539
0.7,0.4245033961,0.332,0.28,0.51,0.404
0.71,0.5520120466,0.335,0.28,0.51,0.337
0.72,0.4245033961,0.335,0.29,0.51,0.404
0.73,0.1611994576,0.332,0.29,0.52,0.539
0.74,0.1611994576,0.332,0.3,0.52,0.539
0.75,0.333155334,0.335,0.3,0.53,0.438
0.76,0.4512222618,0.335,0.31,0.53,0.371
0.77,0.3786465478,0.338,0.32,0.54,0.404
0.78,0.263214449,0.338,0.32,0.54,0.472
0.79,0.2537300275,0.335,0.33,0.55,0.472
0.8,0.3093663912,0.332,0.33,0.55,0.438
0.81,0.3650027548,0.328,0.34,0.55,0.404
0.82,0.2984162415,0.328,0.34,0.56,0.438
0.83,0.1926605017,0.332,0.35,0.56,0.505
0.84,0.08235867446,0.335,0.35,0.57,0.573
0.85,0.1341592285,0.335,0.36,0.57,0.539
0.86,0.3767786365,0.335,0.37,0.58,0.371
0.87,0.5268678161,0.335,0.37,0.58,0.269
0.88,0.3767786365,0.335,0.38,0.58,0.371
0.89,0.07686967347,0.332,0.38,0.59,0.573
0.9,0.0289537037,0.338,0.39,0.6,0.606
0.91,0.2599537037,0.335,0.39,0.6,0.438
0.92,0.3988287037,0.328,0.4,0.6,0.337
0.93,0.340629759,0.332,0.41,0.61,0.371
0.94,0.2967302696,0.328,0.41,0.61,0.404
0.95,0.3735128339,0.338,0.42,0.62,0.337
0.96,0.4172953521,0.338,0.43,0.62,0.303
